"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
2536,0.943,0,0.017,0.037,0.003
2537,0.529,0,0,0.121,0.35
2538,0.497,0,0,0.503,0
2539,0.942,0,0,0,0.058
2540,0.599,0,0,0.001,0.4
2541,0.697,0,0,0,0.303
2542,0.919,0,0,0.072,0.009
2543,0.959,0,0,0,0.041
2544,0.04,0,0,0,0.96
2545,0.998,0,0,0.001,0.001
2546,0.193,0,0.022,0.779,0.006
2547,0.919,0,0,0.072,0.009
2548,0.937,0,0,0,0.063
2549,0.461,0,0,0.539,0
2550,0.997,0,0,0,0.003
2551,0.465,0,0,0.043,0.492
2552,0.305,0,0,0,0.695
2553,0.961,0,0,0,0.039
2554,0.521,0,0.004,0.041,0.434
2555,0.066,0,0,0,0.934
2556,0.995,0,0,0,0.005
2557,0.04,0,0,0,0.96
2558,0.777,0,0,0.209,0.014
2559,0.937,0,0,0,0.063
2560,0.951,0,0,0,0.049
2561,0.234,0,0,0,0.766
2562,0.993,0,0,0.007,0
2563,0.937,0,0,0,0.063
2564,0.559,0,0,0.423,0.018
2565,0.928,0,0.001,0.055,0.016
2566,0.083,0,0.001,0.01,0.906
2567,0.921,0,0.003,0.07,0.006
2568,0.582,0,0,0.255,0.163
2569,0.865,0,0,0.103,0.032
2570,0.002,0,0,0,0.998
2571,0.937,0,0,0.02,0.043
2572,0.661,0,0.006,0.329,0.004
2573,0.04,0,0,0,0.96
2574,0.037,0,0,0.034,0.929
2575,0.978,0,0,0,0.022
2576,1,0,0,0,0
2577,0.534,0,0,0.466,0
2578,0.67,0,0.007,0.014,0.309
2579,0.985,0,0,0.015,0
2580,0.716,0,0.001,0.23,0.053
2581,0.316,0,0,0.684,0
2582,0.141,0,0,0,0.859
2583,0.908,0,0.005,0.01,0.077
2584,0.959,0,0,0,0.041
2585,0.827,0,0,0.167,0.006
2586,0.944,0,0,0.007,0.049
2587,0.997,0,0,0.003,0
2588,0.061,0,0,0,0.939
2589,0.993,0,0.001,0,0.006
2590,0.932,0,0,0.061,0.007
2591,0.559,0,0,0.423,0.018
2592,0.349,0,0,0.002,0.649
2593,0.887,0,0.008,0.014,0.091
2594,0.336,0,0,0.664,0
2595,0.744,0,0,0.224,0.032
2596,0.908,0,0.005,0.01,0.077
2597,0.53,0,0,0.416,0.054
2598,0.202,0,0,0.782,0.016
2599,0.987,0,0,0.006,0.007
2600,0.959,0,0,0,0.041
2601,0.019,0,0,0,0.981
2602,0.49,0,0,0.485,0.025
2603,0.09,0,0.007,0.18,0.723
2604,0.989,0,0,0.011,0
2605,0.787,0,0,0,0.213
2606,0.983,0,0,0.004,0.013
2607,0.043,0,0,0.001,0.956
2608,0.321,0,0,0,0.679
2609,0.031,0,0,0,0.969
2610,0.997,0,0,0.001,0.002
2611,0.114,0,0,0.883,0.003
2612,0.033,0,0,0,0.967
2613,0.019,0,0.027,0,0.954
2614,0.336,0,0,0.664,0
2615,0.919,0,0,0.049,0.032
2616,0.665,0,0,0.333,0.002
2617,0.976,0,0.001,0.006,0.017
2618,0.047,0,0,0,0.953
2619,0.787,0,0,0,0.213
2620,0.269,0,0.003,0.716,0.012
2621,0.112,0,0,0.887,0.001
2622,0.218,0,0,0.782,0
2623,0.998,0,0,0.002,0
2624,0.975,0,0,0.016,0.009
2625,0.002,0,0.011,0,0.987
2626,0.072,0.001,0.023,0.158,0.746
2627,0.728,0,0,0.09,0.182
2628,0.117,0,0.001,0.021,0.861
2629,0.232,0,0.001,0.755,0.012
2630,0.887,0,0.008,0.014,0.091
2631,0.787,0,0,0,0.213
2632,0.348,0,0,0.64,0.012
2633,0.019,0,0.13,0.532,0.319
2634,0.871,0,0.004,0.026,0.099
2635,0.141,0,0,0,0.859
2636,0.95,0,0,0.024,0.026
2637,0.286,0,0,0.002,0.712
2638,0.997,0,0,0,0.003
2639,0.704,0,0,0.14,0.156
2640,0.951,0,0,0,0.049
2641,0.039,0,0,0,0.961
2642,0.98,0,0,0.017,0.003
2643,0.667,0,0,0.096,0.237
2644,0.03,0,0.105,0.347,0.518
2645,0.056,0,0.016,0.654,0.274
2646,0.001,0,0,0,0.999
2647,0.055,0,0.229,0.156,0.56
2648,0.925,0,0.004,0.067,0.004
2649,0.968,0,0,0,0.032
2650,0.998,0,0,0,0.002
2651,0.999,0,0,0,0.001
2652,0.288,0,0,0,0.712
2653,0.982,0,0,0.017,0.001
2654,0.468,0,0,0.517,0.015
2655,0.271,0,0,0.729,0
2656,0.133,0,0,0,0.867
2657,0.566,0,0,0.429,0.005
2658,0.288,0,0,0,0.712
2659,0.023,0.001,0.077,0.21,0.689
2660,0.629,0,0.007,0.31,0.054
2661,0.67,0,0.007,0.014,0.309
2662,0.49,0,0,0.51,0
2663,0.991,0,0,0.008,0.001
2664,0.035,0,0.014,0.528,0.423
2665,0.953,0,0,0.043,0.004
2666,0.959,0,0,0,0.041
2667,0.21,0,0.03,0.754,0.006
2668,0.997,0,0,0,0.003
2669,0.127,0,0,0,0.873
2670,0.648,0,0,0.333,0.019
2671,0.991,0,0,0.003,0.006
2672,0.051,0,0,0,0.949
2673,0.047,0,0,0,0.953
2674,0.959,0,0,0,0.041
2675,0.072,0,0,0,0.928
2676,0.973,0,0,0.027,0
2677,0.036,0,0,0,0.964
2678,0.822,0,0,0.15,0.028
2679,0.009,0,0.051,0,0.94
2680,0.006,0.01,0.001,0,0.983
2681,0.255,0,0,0,0.745
2682,0.775,0,0.001,0.138,0.086
2683,0.352,0,0,0,0.648
2684,0.042,0,0.046,0.015,0.897
2685,0.053,0,0,0.041,0.906
2686,0.924,0,0,0,0.076
2687,0.023,0,0,0,0.977
2688,0.074,0,0.005,0.379,0.542
2689,0.968,0,0,0,0.032
2690,0.12,0,0.005,0.872,0.003
2691,0.959,0,0,0,0.041
2692,0.987,0,0,0,0.013
2693,0.039,0,0,0,0.961
2694,0.225,0,0.004,0.763,0.008
2695,0.988,0,0,0.002,0.01
2696,0.005,0,0.275,0,0.72
2697,0.208,0,0.016,0.776,0
2698,0.349,0,0,0.002,0.649
2699,0.08,0,0,0.001,0.919
2700,0.809,0,0,0.182,0.009
2701,0.406,0,0.025,0.542,0.027
2702,0.892,0,0,0.1,0.008
2703,0.42,0,0.002,0.576,0.002
2704,0.169,0,0,0.827,0.004
2705,0.754,0,0,0,0.246
2706,0.726,0,0.001,0.098,0.175
2707,0.967,0,0,0.019,0.014
2708,0.305,0,0,0,0.695
2709,0.996,0,0,0,0.004
2710,0.461,0,0,0.539,0
2711,0.225,0,0.004,0.763,0.008
2712,0.951,0,0,0,0.049
2713,0.075,0,0.068,0.165,0.692
2714,0.897,0,0.009,0.004,0.09
2715,0.817,0,0,0.182,0.001
2716,0.286,0,0,0.002,0.712
2717,0.093,0,0.018,0.011,0.878
2718,0.722,0,0,0.108,0.17
2719,0.127,0,0,0,0.873
2720,0.058,0,0.01,0,0.932
2721,0.001,0,0,0,0.999
2722,0.997,0,0,0,0.003
2723,0.994,0,0,0.002,0.004
2724,0.961,0,0,0,0.039
2725,0.038,0,0,0,0.962
2726,0.947,0,0,0.046,0.007
2727,0.079,0,0,0.92,0.001
2728,0.293,0,0,0.706,0.001
2729,0.022,0,0.152,0.396,0.43
2730,0.946,0,0,0.047,0.007
2731,1,0,0,0,0
2732,0.002,0,0,0,0.998
2733,0.633,0,0,0,0.367
2734,0.271,0,0,0.705,0.024
2735,0.933,0,0,0.066,0.001
2736,0.047,0,0,0,0.953
2737,0.039,0,0,0,0.961
2738,0.787,0,0,0,0.213
2739,0.972,0,0,0.021,0.007
2740,0.924,0,0,0,0.076
2741,0.764,0,0,0.147,0.089
2742,0.97,0,0,0,0.03
2743,0.668,0,0.004,0.211,0.117
2744,0.992,0,0,0.001,0.007
2745,0.047,0,0,0,0.953
2746,0.913,0,0,0.081,0.006
2747,0.031,0,0,0,0.969
2748,0.787,0,0,0.197,0.016
2749,0.993,0,0,0.004,0.003
2750,0.996,0,0,0,0.004
2751,0.983,0,0,0.01,0.007
2752,0.959,0,0,0,0.041
2753,0.017,0,0.006,0,0.977
2754,0.937,0,0,0,0.063
2755,0.423,0,0,0.526,0.051
2756,0.518,0,0,0.058,0.424
2757,0.971,0,0,0.003,0.026
2758,0.964,0,0,0,0.036
2759,0.951,0,0,0,0.049
2760,0.001,0,0,0,0.999
2761,0.993,0,0,0.004,0.003
2762,0.936,0,0,0,0.064
2763,0.343,0,0,0,0.657
2764,0.519,0,0.059,0.409,0.013
2765,0.787,0,0,0,0.213
2766,0.372,0,0,0.615,0.013
2767,0.169,0,0,0.012,0.819
2768,0.854,0,0,0.055,0.091
2769,0.997,0,0,0,0.003
2770,0.599,0.001,0.15,0.011,0.239
2771,0.681,0,0,0.315,0.004
2772,0.948,0,0,0,0.052
2773,0.983,0,0,0.016,0.001
2774,0.948,0,0,0,0.052
2775,0.953,0,0,0.043,0.004
2776,0.46,0,0.001,0.539,0
2777,0.072,0,0.001,0.67,0.257
2778,0.985,0,0,0.01,0.005
2779,0.423,0,0,0.577,0
2780,0.351,0,0,0.008,0.641
2781,0.997,0,0,0.001,0.002
2782,0.934,0,0,0.065,0.001
2783,0.657,0,0,0.337,0.006
2784,0.957,0,0,0.03,0.013
2785,0.992,0,0,0.007,0.001
2786,0.129,0,0,0,0.871
2787,0.67,0,0.007,0.014,0.309
2788,0.803,0,0.003,0.009,0.185
2789,0.418,0,0,0.582,0
2790,0.285,0,0,0.586,0.129
2791,0.033,0,0,0.024,0.943
2792,0.127,0,0,0,0.873
2793,0.233,0,0,0.75,0.017
2794,0.07,0,0.134,0.311,0.485
2795,0.992,0,0,0.001,0.007
2796,0.67,0,0.007,0.014,0.309
2797,0.047,0,0,0,0.953
2798,0.033,0,0,0,0.967
2799,0.08,0,0.024,0.213,0.683
2800,0.079,0,0,0.92,0.001
2801,0.993,0,0,0.001,0.006
2802,0.005,0,0,0,0.995
2803,0.45,0,0,0.55,0
2804,0.076,0.001,0.083,0.371,0.469
2805,0.329,0,0,0.668,0.003
2806,0.959,0,0,0,0.041
2807,0.951,0,0,0,0.049
2808,0.236,0,0,0.758,0.006
2809,0.108,0.001,0.013,0.838,0.04
2810,0.023,0,0.109,0.693,0.175
2811,0.891,0,0.02,0.047,0.042
2812,0.047,0,0,0,0.953
2813,0.127,0,0,0,0.873
2814,0.047,0,0,0.003,0.95
2815,0.047,0,0,0,0.953
2816,0.949,0,0,0.028,0.023
2817,0.508,0,0,0.471,0.021
2818,0.959,0,0,0,0.041
2819,0.937,0,0,0,0.063
2820,0.73,0,0,0.246,0.024
2821,0.889,0,0.001,0.098,0.012
2822,0.957,0,0,0.018,0.025
2823,0.887,0,0.008,0.014,0.091
2824,0.949,0,0,0.029,0.022
2825,0.061,0,0.009,0,0.93
2826,0.039,0,0,0,0.961
2827,0.41,0,0,0.567,0.023
2828,0.141,0,0,0,0.859
2829,0.982,0,0,0.017,0.001
2830,0.989,0,0,0.011,0
2831,0.924,0,0,0,0.076
2832,0.726,0,0.001,0.098,0.175
2833,0.143,0,0.008,0.828,0.021
2834,0.269,0,0.003,0.716,0.012
2835,0.127,0,0,0,0.873
2836,0.953,0,0,0.043,0.004
2837,0.994,0,0,0.006,0
2838,0.878,0,0,0.092,0.03
2839,0.93,0,0,0.031,0.039
2840,0.995,0,0,0,0.005
2841,0.97,0,0.003,0.022,0.005
2842,0.114,0,0,0.883,0.003
2843,0.218,0,0,0.782,0
2844,0.047,0,0,0,0.953
2845,0.027,0.001,0.012,0.031,0.929
2846,0.799,0,0.001,0.196,0.004
2847,0.137,0,0,0,0.863
2848,0.019,0,0.04,0.466,0.475
2849,0.658,0,0,0.34,0.002
2850,0.937,0,0,0,0.063
2851,0.461,0,0,0.539,0
2852,0.067,0.003,0.026,0.075,0.829
2853,0.924,0,0,0,0.076
2854,0.047,0,0,0,0.953
2855,0.981,0,0,0.015,0.004
2856,0.05,0,0,0,0.95
2857,0.878,0,0,0.055,0.067
2858,0.827,0,0,0.167,0.006
2859,0.979,0,0,0.009,0.012
2860,0.631,0,0,0.368,0.001
2861,0.988,0,0,0,0.012
2862,0.779,0,0.006,0.213,0.002
2863,0.068,0,0.047,0.079,0.806
2864,0.141,0,0,0,0.859
2865,0.071,0,0.009,0.278,0.642
2866,0.997,0,0,0.002,0.001
2867,0.996,0,0,0.003,0.001
2868,0.286,0,0,0.002,0.712
2869,0.001,0,0,0,0.999
2870,0.072,0,0,0,0.928
2871,0.141,0,0,0,0.859
2872,0.885,0,0,0.105,0.01
2873,0.153,0,0,0,0.847
2874,0.997,0,0,0.002,0.001
2875,0.977,0,0,0.004,0.019
2876,0.995,0,0,0,0.005
2877,0.031,0,0,0,0.969
2878,0.993,0,0,0.007,0
2879,0.217,0,0.121,0.63,0.032
2880,0.129,0,0,0,0.871
2881,0.142,0,0.02,0.009,0.829
2882,0.033,0,0,0,0.967
2883,0.983,0,0,0.001,0.016
2884,0.178,0,0,0.822,0
2885,0.476,0,0,0.443,0.081
2886,0.697,0,0,0,0.303
2887,0.942,0,0,0,0.058
2888,0.967,0,0,0.018,0.015
2889,0.019,0,0.027,0,0.954
2890,0.787,0,0,0,0.213
2891,0.103,0,0,0.014,0.883
2892,0.901,0,0.003,0.071,0.025
2893,0.67,0,0.007,0.014,0.309
2894,0.36,0,0,0.638,0.002
2895,0.065,0,0.495,0.002,0.438
2896,0.321,0,0,0,0.679
2897,0.993,0,0,0.004,0.003
2898,0.999,0,0,0,0.001
2899,0.968,0,0,0,0.032
2900,0.763,0,0,0.233,0.004
2901,0.023,0,0.085,0.501,0.391
2902,0.976,0,0,0.015,0.009
2903,0.989,0,0,0.007,0.004
2904,0.033,0,0,0,0.967
2905,0.598,0,0,0.401,0.001
2906,0.992,0,0,0.001,0.007
2907,0.784,0,0.002,0.002,0.212
2908,0.06,0,0.002,0.062,0.876
2909,0.992,0,0,0.001,0.007
2910,0.016,0,0.263,0.566,0.155
2911,0.95,0,0,0.041,0.009
2912,0.058,0,0,0,0.942
2913,0.352,0,0,0,0.648
2914,0.033,0,0,0,0.967
2915,0.942,0,0,0,0.058
2916,0.129,0,0,0,0.871
2917,0.026,0,0,0,0.974
2918,0.067,0,0.001,0.001,0.931
2919,0.992,0,0,0.003,0.005
2920,0.933,0,0,0.047,0.02
2921,0.997,0,0,0,0.003
2922,0.841,0,0.034,0.107,0.018
2923,0.033,0,0,0,0.967
2924,0.959,0,0,0,0.041
2925,0.043,0,0,0,0.957
2926,0.967,0,0,0.004,0.029
2927,0.022,0,0.152,0.396,0.43
2928,0.951,0,0,0,0.049
2929,0.995,0,0,0,0.005
2930,0.787,0,0,0,0.213
2931,0.995,0,0,0.005,0
2932,0.038,0,0,0,0.962
2933,0.992,0,0,0.004,0.004
2934,0.04,0,0,0,0.96
2935,0.483,0,0.001,0.512,0.004
2936,0.95,0,0.003,0,0.047
2937,0.033,0,0,0,0.967
2938,0.336,0,0,0,0.664
2939,0.92,0,0.008,0.066,0.006
2940,0.159,0,0.001,0.833,0.007
2941,0.698,0,0,0.295,0.007
2942,0.375,0,0,0.624,0.001
2943,0.351,0,0,0.008,0.641
2944,0.997,0,0,0.002,0.001
2945,0.936,0,0,0.033,0.031
2946,0.129,0,0,0,0.871
2947,0.302,0,0,0.008,0.69
2948,0.038,0,0.14,0.343,0.479
2949,0.997,0,0,0,0.003
2950,0.948,0,0,0,0.052
2951,0.633,0,0,0,0.367
2952,0.031,0,0,0,0.969
2953,0.998,0,0,0,0.002
2954,0.897,0,0.009,0.004,0.09
2955,0.005,0,0,0,0.995
2956,0.043,0,0.002,0.029,0.926
2957,0.026,0,0,0,0.974
2958,0.033,0,0,0.123,0.844
2959,0.568,0,0.002,0.429,0.001
2960,0.127,0,0,0,0.873
2961,0.04,0,0,0,0.96
2962,0.962,0,0,0.025,0.013
2963,0.683,0,0.001,0.284,0.032
2964,0.001,0,0,0,0.999
2965,0.968,0,0,0.014,0.018
2966,0.472,0,0,0.526,0.002
2967,0.787,0,0,0,0.213
2968,0.04,0,0,0,0.96
2969,0.951,0,0,0,0.049
2970,0.951,0,0,0,0.049
2971,0.983,0,0,0.016,0.001
2972,0.803,0,0,0.192,0.005
2973,0.995,0,0,0,0.005
2974,0.991,0,0,0.001,0.008
2975,0.959,0,0,0,0.041
2976,0.618,0,0,0.049,0.333
2977,0.172,0,0,0.826,0.002
2978,0.023,0,0.058,0.362,0.557
2979,0.97,0,0,0,0.03
2980,0.983,0,0,0.016,0.001
2981,0.383,0,0,0.615,0.002
2982,0.351,0,0,0.008,0.641
2983,0.951,0,0,0,0.049
2984,0.631,0,0,0.368,0.001
2985,0.164,0.001,0,0.002,0.833
2986,0.95,0,0,0.018,0.032
2987,0.954,0,0.002,0.038,0.006
2988,0.997,0,0,0.003,0
2989,0.725,0,0.008,0.214,0.053
2990,0.942,0,0.001,0.048,0.009
2991,0.461,0,0,0.539,0
2992,0.06,0,0,0.015,0.925
2993,0.137,0,0,0,0.863
2994,0.964,0,0,0.018,0.018
2995,0.063,0.002,0.06,0.029,0.846
2996,0.176,0,0.004,0.81,0.01
2997,0.953,0,0.005,0.036,0.006
2998,0.033,0,0,0,0.967
2999,0.416,0,0,0.561,0.023
3000,0.937,0,0,0,0.063
3001,0.805,0,0,0.19,0.005
3002,0.006,0,0,0,0.994
3003,0.999,0,0,0,0.001
3004,0.178,0,0.004,0.793,0.025
3005,0.136,0,0.005,0.831,0.028
3006,0.74,0,0,0.036,0.224
3007,0.25,0,0,0.732,0.018
3008,0.834,0,0,0.141,0.025
3009,0.047,0,0,0,0.953
3010,0.994,0,0,0,0.006
3011,0.031,0,0,0,0.969
3012,0.062,0,0,0.004,0.934
3013,0.286,0,0,0.002,0.712
3014,0.066,0,0,0,0.934
3015,0.984,0,0,0.002,0.014
3016,0.968,0,0,0,0.032
3017,0.817,0,0,0.182,0.001
3018,0.999,0,0,0.001,0
3019,0.763,0,0,0.208,0.029
3020,0.93,0,0,0.07,0
3021,0.839,0,0,0.09,0.071
3022,0.997,0,0,0,0.003
3023,0.919,0,0,0.076,0.005
3024,0.992,0,0,0.001,0.007
3025,0.047,0,0,0,0.953
3026,0.974,0,0,0.017,0.009
3027,0.667,0,0.008,0.062,0.263
3028,0.948,0,0,0.052,0
3029,0.942,0,0.001,0.048,0.009
3030,0.052,0,0.089,0.028,0.831
3031,0.409,0,0,0.59,0.001
3032,0.984,0,0,0.015,0.001
3033,0.948,0,0,0,0.052
3034,0.021,0,0.011,0.793,0.175
3035,0.011,0,0.003,0,0.986
3036,0.25,0,0,0.732,0.018
3037,0.271,0,0,0.705,0.024
3038,0.185,0,0.003,0.796,0.016
3039,0.037,0,0.054,0.022,0.887
3040,0.112,0,0,0.887,0.001
3041,0.948,0,0,0,0.052
3042,0.984,0,0,0.015,0.001
3043,0.064,0,0.039,0.065,0.832
3044,0.218,0,0,0.782,0
3045,0.001,0,0,0,0.999
3046,0.946,0,0,0.054,0
3047,0.98,0,0,0.017,0.003
3048,0.951,0,0,0,0.049
3049,0.951,0,0,0,0.049
3050,0.937,0,0,0,0.063
3051,0.754,0,0,0,0.246
3052,0.942,0,0,0,0.058
3053,0.047,0,0,0,0.953
3054,0.946,0,0.004,0.014,0.036
3055,0.048,0,0.304,0.028,0.62
3056,0.942,0,0,0,0.058
3057,0.803,0,0.003,0.009,0.185
3058,0.937,0,0,0,0.063
3059,0.595,0,0,0.001,0.404
3060,0.05,0,0,0,0.95
3061,0.45,0,0,0.55,0
3062,0.466,0,0.009,0.501,0.024
3063,0.041,0,0,0,0.959
3064,0.989,0,0,0.011,0
3065,0.019,0,0.027,0,0.954
3066,0.203,0,0,0.796,0.001
3067,0.951,0,0,0,0.049
3068,0.951,0,0,0,0.049
3069,0.959,0,0,0,0.041
3070,0.892,0,0,0.101,0.007
3071,0.895,0,0.005,0.009,0.091
3072,0.008,0,0.436,0.386,0.17
3073,0.041,0,0,0,0.959
3074,0.033,0,0,0.024,0.943
3075,0.744,0.02,0,0.181,0.055
3076,0.997,0,0,0,0.003
3077,0.942,0,0,0,0.058
3078,0.031,0,0,0,0.969
3079,0.989,0,0,0,0.011
3080,0.127,0,0,0,0.873
3081,0.143,0,0,0.854,0.003
3082,0.785,0.008,0.001,0.14,0.066
3083,0.997,0,0,0.002,0.001
3084,0.271,0,0,0.705,0.024
3085,0.987,0,0,0.005,0.008
3086,0.951,0,0,0,0.049
3087,0.985,0,0,0.01,0.005
3088,0.961,0,0,0.024,0.015
3089,0.951,0,0,0,0.049
3090,0.018,0,0,0,0.982
3091,0.948,0,0,0.001,0.051
3092,0.321,0,0,0,0.679
3093,0.997,0,0,0,0.003
3094,0.754,0,0,0,0.246
3095,0.948,0,0,0,0.052
3096,0.959,0,0,0,0.041
3097,0.953,0,0,0.043,0.004
3098,0.719,0,0.002,0.275,0.004
3099,0.154,0.001,0.004,0,0.841
3100,0.015,0,0.337,0.519,0.129
3101,0.04,0,0,0,0.96
3102,0.336,0,0,0,0.664
3103,0.637,0,0,0,0.363
3104,0.955,0,0,0.04,0.005
3105,0.67,0,0.007,0.014,0.309
3106,0.043,0,0,0,0.957
3107,0.363,0,0,0.011,0.626
3108,0.027,0,0,0,0.973
3109,0.998,0,0,0,0.002
3110,0.993,0,0,0.007,0
3111,0.877,0,0,0.083,0.04
3112,0.959,0,0.001,0.02,0.02
3113,0.076,0.001,0.003,0,0.92
3114,0.112,0,0,0.887,0.001
3115,0.959,0,0,0,0.041
3116,0.993,0,0,0,0.007
3117,0.991,0,0,0.008,0.001
3118,0.008,0,0.067,0.785,0.14
3119,0.033,0,0,0,0.967
3120,0.924,0,0,0,0.076
3121,0.997,0,0,0,0.003
3122,0.994,0,0,0.003,0.003
3123,0.001,0,0,0,0.999
3124,0.008,0,0.024,0,0.968
3125,0.946,0,0,0.023,0.031
3126,0.937,0,0,0,0.063
3127,0.05,0.003,0.002,0.002,0.943
3128,0.66,0,0,0.322,0.018
3129,0.22,0,0,0.765,0.015
3130,0.99,0,0,0,0.01
3131,0.948,0,0,0,0.052
3132,0.349,0,0,0.002,0.649
3133,0.218,0,0,0.782,0
3134,0.038,0,0.024,0.007,0.931
3135,0.997,0,0,0.002,0.001
3136,0.047,0,0,0,0.953
3137,0.033,0,0,0.024,0.943
3138,0.937,0,0,0,0.063
3139,0.997,0,0,0.001,0.002
3140,0.825,0,0,0.041,0.134
3141,0.004,0,0.218,0,0.778
3142,0.129,0,0,0,0.871
3143,0.982,0,0,0.014,0.004
3144,0.831,0,0,0.138,0.031
3145,0.058,0,0.029,0.057,0.856
3146,0.987,0,0,0.006,0.007
3147,0.054,0,0.161,0.182,0.603
3148,0.559,0,0,0.423,0.018
3149,0.217,0,0.006,0.775,0.002
3150,0.265,0,0,0.731,0.004
3151,0.966,0,0.003,0.01,0.021
3152,0.999,0,0,0,0.001
3153,0.061,0,0.061,0.439,0.439
3154,0.059,0,0,0.008,0.933
3155,0.613,0,0,0,0.387
3156,1,0,0,0,0
3157,0.476,0,0.007,0.515,0.002
3158,0.883,0,0,0.096,0.021
3159,0.047,0,0,0,0.953
3160,0.031,0,0,0,0.969
3161,0.047,0,0,0,0.953
3162,0.026,0,0,0,0.974
3163,0.937,0,0,0,0.063
3164,0.077,0,0.008,0.34,0.575
3165,0.841,0,0.034,0.107,0.018
3166,0.921,0,0.003,0.07,0.006
3167,0.051,0,0,0,0.949
3168,0.087,0.001,0.053,0.02,0.839
3169,0.011,0,0.003,0,0.986
3170,0.125,0,0,0.874,0.001
3171,0.072,0,0,0,0.928
3172,0.924,0,0,0,0.076
3173,0.951,0,0,0,0.049
3174,0.972,0,0,0.004,0.024
3175,0.959,0,0,0,0.041
3176,0.996,0,0,0,0.004
3177,0.04,0,0,0,0.96
3178,0.364,0,0,0.634,0.002
3179,0.937,0,0.004,0.002,0.057
3180,0.999,0,0,0,0.001
3181,0.031,0,0,0,0.969
3182,0.155,0.005,0.196,0.143,0.501
3183,0.974,0,0,0.017,0.009
3184,0.127,0,0,0,0.873
3185,0.994,0,0,0.003,0.003
3186,0.697,0,0,0,0.303
3187,0.97,0,0,0.006,0.024
3188,0.141,0,0,0,0.859
3189,0.999,0,0,0,0.001
3190,0.961,0,0,0.011,0.028
3191,0.978,0,0,0.008,0.014
3192,0.969,0,0,0.011,0.02
3193,0.929,0,0,0.047,0.024
3194,0.421,0,0,0.577,0.002
3195,0.592,0,0,0.399,0.009
3196,0.235,0,0.002,0.747,0.016
3197,0.951,0,0,0,0.049
3198,0.948,0,0,0,0.052
3199,0.025,0,0.079,0.724,0.172
3200,0.021,0,0.062,0.503,0.414
3201,0.805,0,0,0.19,0.005
3202,0.67,0,0.007,0.014,0.309
3203,0.46,0,0.001,0.539,0
3204,0.968,0,0,0,0.032
3205,0.49,0,0,0.002,0.508
3206,0.579,0,0,0.4,0.021
3207,0.445,0,0.001,0.531,0.023
3208,0.961,0,0,0,0.039
3209,0.982,0,0,0,0.018
3210,0.04,0,0,0,0.96
3211,0.982,0,0,0.015,0.003
3212,0.375,0,0,0.585,0.04
3213,0.599,0,0,0.001,0.4
3214,0.697,0,0,0,0.303
3215,0.387,0,0,0,0.613
3216,0.937,0,0,0,0.063
3217,0.375,0,0,0.609,0.016
3218,0.959,0,0,0,0.041
3219,0.112,0,0,0.887,0.001
3220,0.672,0,0,0.217,0.111
3221,0.654,0,0,0.346,0
3222,0.005,0,0.199,0.467,0.329
3223,0.033,0,0,0,0.967
3224,0.981,0,0,0.002,0.017
3225,0.231,0,0,0.768,0.001
3226,0.033,0,0,0,0.967
3227,0.942,0,0,0,0.058
3228,0.959,0,0,0,0.041
3229,0.043,0,0,0,0.957
3230,0.04,0,0,0,0.96
3231,0.813,0,0,0.121,0.066
3232,0.04,0,0,0,0.96
3233,0.996,0,0,0,0.004
3234,0.614,0,0.021,0.019,0.346
3235,0.49,0,0.04,0.45,0.02
3236,0.321,0,0,0,0.679
3237,0.979,0,0,0,0.021
3238,0.352,0,0,0,0.648
3239,0.942,0,0.001,0.048,0.009
3240,0.047,0,0,0,0.953
3241,0.04,0,0,0,0.96
3242,0.574,0,0,0.391,0.035
3243,0.937,0,0,0,0.063
3244,0.025,0,0.055,0.606,0.314
3245,0.897,0,0.009,0.004,0.09
3246,0.159,0,0.001,0.833,0.007
3247,0.192,0,0,0.784,0.024
3248,0.989,0,0,0,0.011
3249,0.45,0,0,0.55,0
3250,0.097,0,0.008,0.002,0.893
3251,0.983,0,0,0.016,0.001
3252,0.318,0,0.002,0.663,0.017
3253,0.987,0,0,0.006,0.007
3254,0.951,0,0,0,0.049
3255,0.947,0,0.002,0,0.051
3256,0.064,0,0.039,0.065,0.832
3257,0.674,0,0.001,0.255,0.07
3258,0.372,0,0,0.615,0.013
3259,0.993,0,0,0.007,0
3260,0.867,0,0,0.105,0.028
3261,0.127,0,0,0,0.873
3262,0.635,0,0,0.289,0.076
3263,0.97,0,0,0.012,0.018
3264,0.951,0,0,0,0.049
3265,0.164,0,0.002,0.832,0.002
3266,0.001,0,0,0,0.999
3267,0.343,0,0,0,0.657
3268,0.968,0,0,0,0.032
3269,0.974,0,0,0.005,0.021
3270,0.976,0,0,0.016,0.008
3271,0.321,0,0,0,0.679
3272,0.312,0,0.014,0.453,0.221
3273,0.968,0,0,0,0.032
3274,0.002,0,0,0,0.998
3275,0.603,0,0,0.311,0.086
3276,0.16,0,0,0.838,0.002
3277,0.988,0,0,0,0.012
3278,0.193,0,0.022,0.779,0.006
3279,0.97,0,0,0,0.03
3280,0.982,0,0.001,0.008,0.009
3281,0.846,0,0,0.125,0.029
3282,0.963,0,0,0.007,0.03
3283,0.999,0,0,0,0.001
3284,0.047,0,0.142,0.302,0.509
3285,0.051,0,0.302,0.193,0.454
3286,0.924,0,0,0,0.076
